Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
guinea,africa,13164905.0,7664,1980.5,49.0,300.0,6757.0,1706.0,858.0,24.0,582.0,4.0,14407.0,1094.0,africa
haiti,north america,11416103.0,7544,1980.5,171.0,300.0,4832.0,1706.0,2541.0,534.3934426229508,661.0,15.0,18443.0,1616.0,americas
finland,europe,5541604.0,7532,1980.5,331.0,300.0,6980.0,1706.0,221.0,534.3934426229508,1359.0,60.0,389500.0,70287.0,europe
zambia,africa,18430129.0,7164,1980.5,199.0,300.0,5786.0,1706.0,1179.0,534.3934426229508,389.0,11.0,90307.0,4900.0,africa
luxembourg,europe,626952.0,7073,1980.5,119.0,300.0,5750.0,1706.0,1204.0,9.0,11282.0,190.0,623994.0,995282.0,europe
mauritania,africa,4660728.0,6444,1980.5,157.0,300.0,5291.0,1706.0,996.0,3.0,1383.0,34.0,57387.0,12313.0,africa
paraguay,south america,7141091.0,6375,1980.5,66.0,300.0,4974.0,1706.0,1335.0,23.0,893.0,9.0,135277.0,18943.0,americas
albania,europe,2877470.0,6016,1980.5,188.0,300.0,3155.0,1706.0,2673.0,23.0,2091.0,65.0,38997.0,13553.0,europe
lebanon,asia,6822220.0,5672,1980.5,70.0,300.0,1974.0,1706.0,3628.0,46.0,831.0,10.0,345268.0,50609.0,easternmediterranean
croatia,europe,4102577.0,5404,1980.5,155.0,300.0,4688.0,1706.0,561.0,7.0,1317.0,38.0,125317.0,30546.0,europe
djibouti,africa,989387.0,5330,1980.5,59.0,300.0,5057.0,1706.0,214.0,534.3934426229508,5387.0,60.0,59909.0,60552.0,easternmediterranean
greece,europe,10417673.0,5123,1980.5,210.0,300.0,1374.0,1706.0,3539.0,14.0,492.0,20.0,619393.0,59456.0,europe
libya,africa,6880353.0,4879,1980.5,107.0,300.0,652.0,1706.0,4120.0,534.3934426229508,709.0,16.0,59699.0,8677.0,easternmediterranean
equatorial guinea,africa,1407001.0,4821,1980.5,83.0,300.0,2182.0,1706.0,2556.0,534.3934426229508,3426.0,59.0,44356.0,31525.0,africa
maldives,asia,541448.0,4680,1980.5,19.0,300.0,2725.0,1706.0,1936.0,12.0,8643.0,35.0,85587.0,158071.0,south-eastasia
car,africa,4837752.0,4620,1980.5,59.0,300.0,1641.0,1706.0,2920.0,2.0,955.0,12.0,29589.0,6116.0,unknown
hungary,europe,9657785.0,4597,1980.5,600.0,300.0,3463.0,1706.0,534.0,8.0,476.0,62.0,352546.0,36504.0,europe
malawi,africa,19174839.0,4491,1980.5,137.0,300.0,2137.0,1706.0,2217.0,4.0,234.0,7.0,33466.0,1745.0,africa
zimbabwe,africa,14883803.0,4339,1980.5,84.0,300.0,1264.0,1706.0,2991.0,534.3934426229508,292.0,6.0,140421.0,9434.0,africa
nicaragua,north america,6632263.0,3902,1980.5,123.0,300.0,2913.0,1706.0,866.0,534.3934426229508,588.0,19.0,1402404.7015706806,83959.3664921466,americas
hong kong,asia,7503041.0,3850,1980.5,46.0,300.0,2458.0,1706.0,1346.0,39.0,513.0,6.0,692430.0,92287.0,westernpacific
congo,africa,5530506.0,3546,1980.5,58.0,300.0,1589.0,1706.0,1899.0,534.3934426229508,641.0,10.0,1402404.7015706806,83959.3664921466,africa
montenegro,europe,628074.0,3480,1980.5,60.0,300.0,2178.0,1706.0,1242.0,534.3934426229508,5541.0,96.0,38427.0,61182.0,europe
thailand,asia,69817894.0,3330,1980.5,58.0,300.0,3148.0,1706.0,124.0,1.0,48.0,0.8,749213.0,10731.0,south-eastasia
somalia,africa,15933012.0,3227,1980.5,93.0,300.0,1728.0,1706.0,1406.0,2.0,203.0,6.0,1402404.7015706806,83959.3664921466,easternmediterranean
mayotte,africa,273419.0,3042,1980.5,39.0,300.0,2738.0,1706.0,265.0,2.0,11126.0,143.0,13000.0,47546.0,unknown
eswatini,africa,1161348.0,2968,1980.5,55.0,300.0,1476.0,1706.0,1437.0,5.0,2556.0,47.0,20784.0,17896.0,africa
sri lanka,asia,21422362.0,2839,1980.5,11.0,300.0,2541.0,1706.0,287.0,1.0,133.0,0.5,166737.0,7783.0,south-eastasia
cuba,north america,11325899.0,2775,1980.5,88.0,300.0,2409.0,1706.0,278.0,4.0,245.0,8.0,285471.0,25205.0,americas
cabo verde,africa,556581.0,2734,1980.5,27.0,300.0,2010.0,1706.0,697.0,534.3934426229508,4912.0,49.0,61633.0,110735.0,africa
namibia,africa,2545264.0,2652,1980.5,15.0,300.0,563.0,1706.0,2074.0,24.0,1042.0,6.0,29233.0,11485.0,africa
mali,africa,20302901.0,2552,1980.5,124.0,300.0,1954.0,1706.0,474.0,534.3934426229508,126.0,6.0,25152.0,1239.0,africa
slovakia,europe,5459915.0,2480,1980.5,29.0,300.0,1824.0,1706.0,627.0,2.0,454.0,5.0,272322.0,49877.0,europe
south sudan,africa,11206572.0,2450,1980.5,47.0,300.0,1175.0,1706.0,1228.0,534.3934426229508,219.0,4.0,12044.0,1075.0,africa
slovenia,europe,2078968.0,2223,1980.5,125.0,300.0,1909.0,1706.0,189.0,2.0,1069.0,60.0,135702.0,65274.0,europe
lithuania,europe,2718121.0,2171,1980.5,81.0,300.0,1656.0,1706.0,434.0,6.0,799.0,30.0,540784.0,198955.0,europe
estonia,europe,1326627.0,2124,1980.5,63.0,300.0,1954.0,1706.0,107.0,534.3934426229508,1601.0,47.0,122880.0,92626.0,europe
mozambique,africa,31333962.0,2120,1980.5,15.0,300.0,795.0,1706.0,1310.0,534.3934426229508,68.0,0.5,65151.0,2079.0,africa
rwanda,africa,12981546.0,2111,1980.5,5.0,300.0,1258.0,1706.0,848.0,534.3934426229508,163.0,0.4,286251.0,22051.0,africa
suriname,south america,587154.0,2096,1980.5,29.0,300.0,1446.0,1706.0,621.0,9.0,3570.0,49.0,2785.0,4743.0,americas
guinea-bissau,africa,1972277.0,2032,1980.5,27.0,300.0,944.0,1706.0,1061.0,5.0,1030.0,14.0,1500.0,761.0,africa
benin,africa,12151976.0,1936,1980.5,38.0,300.0,1600.0,1706.0,298.0,1.0,159.0,3.0,93677.0,7709.0,africa
iceland,europe,341465.0,1930,1980.5,10.0,300.0,1825.0,1706.0,95.0,534.3934426229508,5652.0,29.0,149693.0,438385.0,europe
sierra leone,africa,7992169.0,1877,1980.5,67.0,300.0,1427.0,1706.0,383.0,534.3934426229508,235.0,8.0,1402404.7015706806,83959.3664921466,africa
yemen,asia,29886897.0,1768,1980.5,508.0,300.0,898.0,1706.0,362.0,534.3934426229508,59.0,17.0,120.0,4.0,easternmediterranean
tunisia,africa,11830801.0,1642,1980.5,51.0,300.0,1241.0,1706.0,350.0,9.0,139.0,4.0,100298.0,8478.0,easternmediterranean
new zealand,australia/oceania,5002100.0,1569,1980.5,22.0,300.0,1524.0,1706.0,23.0,534.3934426229508,314.0,4.0,486943.0,97348.0,westernpacific
angola,africa,32956300.0,1483,1980.5,64.0,300.0,520.0,1706.0,899.0,20.0,45.0,2.0,64747.0,1965.0,africa
uruguay,south america,3474956.0,1318,1980.5,37.0,300.0,1079.0,1706.0,202.0,2.0,379.0,11.0,126956.0,36535.0,americas
latvia,europe,1883936.0,1275,1980.5,32.0,300.0,1070.0,1706.0,173.0,534.3934426229508,677.0,17.0,207909.0,110359.0,europe
jordan,asia,10213138.0,1232,1980.5,11.0,300.0,1171.0,1706.0,50.0,3.0,121.0,1.0,628745.0,61562.0,easternmediterranean
liberia,africa,5068618.0,1224,1980.5,78.0,300.0,705.0,1706.0,441.0,534.3934426229508,241.0,15.0,1402404.7015706806,83959.3664921466,africa
uganda,africa,45867852.0,1223,1980.5,5.0,300.0,1102.0,1706.0,116.0,534.3934426229508,27.0,0.1,288367.0,6287.0,africa
cyprus,asia,1208238.0,1208,1980.5,19.0,300.0,856.0,1706.0,333.0,534.3934426229508,1000.0,16.0,216597.0,179267.0,europe
georgia,asia,3988368.0,1206,1980.5,17.0,300.0,987.0,1706.0,202.0,534.3934426229508,302.0,4.0,240473.0,60294.0,europe
burkina faso,africa,20954852.0,1158,1980.5,54.0,300.0,961.0,1706.0,143.0,534.3934426229508,55.0,3.0,1402404.7015706806,83959.3664921466,africa
niger,africa,24281433.0,1153,1980.5,69.0,300.0,1057.0,1706.0,27.0,534.3934426229508,47.0,3.0,9052.0,373.0,africa
togo,africa,8296582.0,1012,1980.5,22.0,300.0,697.0,1706.0,293.0,2.0,122.0,3.0,45767.0,5516.0,africa
syria,asia,17539600.0,999,1980.5,48.0,300.0,311.0,1706.0,640.0,534.3934426229508,57.0,3.0,1402404.7015706806,83959.3664921466,easternmediterranean
jamaica,north america,2962478.0,958,30.0,12.0,300.0,745.0,1706.0,201.0,534.3934426229508,323.0,4.0,41840.0,14123.0,americas
malta,europe,441663.0,946,1980.5,9.0,300.0,670.0,1706.0,267.0,534.3934426229508,2142.0,20.0,136713.0,309541.0,europe
andorra,europe,77278.0,944,1980.5,52.0,300.0,828.0,1706.0,64.0,1.0,12216.0,673.0,3750.0,48526.0,europe
chad,africa,16467965.0,942,1980.5,76.0,300.0,838.0,1706.0,28.0,534.3934426229508,57.0,5.0,1402404.7015706806,83959.3664921466,africa
gambia,africa,2422754.0,935,1980.5,16.0,300.0,136.0,1706.0,783.0,534.3934426229508,386.0,7.0,5183.0,2139.0,africa
sao tome and principe,africa,219544.0,878,1980.5,15.0,300.0,797.0,1706.0,66.0,534.3934426229508,3999.0,68.0,3079.0,14025.0,africa
botswana,africa,2356075.0,804,1980.5,2.0,300.0,63.0,1706.0,739.0,1.0,341.0,0.8,68423.0,29041.0,africa
bahamas,north america,393616.0,761,1980.5,14.0,300.0,91.0,1706.0,656.0,1.0,1933.0,36.0,4814.0,12230.0,americas
vietnam,asia,97425470.0,747,1980.5,10.0,300.0,392.0,1706.0,345.0,534.3934426229508,8.0,0.1,482456.0,4952.0,westernpacific
lesotho,africa,2143943.0,742,1980.5,23.0,300.0,175.0,1706.0,544.0,534.3934426229508,346.0,11.0,8771.0,4091.0,africa
diamond princess,unknown,30415486.971153848,712,1980.5,13.0,300.0,651.0,1706.0,48.0,4.0,3196.0240384615386,98.68117647058824,1402404.7015706806,83959.3664921466,unknown
san marino,europe,33938.0,699,1980.5,42.0,300.0,657.0,1706.0,0.0,534.3934426229508,20596.0,1238.0,6068.0,178797.0,europe
réunion,africa,895952.0,671,1980.5,5.0,300.0,592.0,1706.0,74.0,3.0,749.0,6.0,35419.0,39532.0,unknown
channel islands,europe,174022.0,597,1980.5,47.0,300.0,533.0,1706.0,17.0,534.3934426229508,3431.0,270.0,30721.0,176535.0,unknown
guyana,south america,786936.0,538,1980.5,22.0,300.0,189.0,1706.0,327.0,2.0,684.0,28.0,5165.0,6563.0,americas
tanzania,africa,59886383.0,509,1980.5,21.0,300.0,183.0,1706.0,305.0,7.0,8.0,0.4,1402404.7015706806,83959.3664921466,africa
taiwan,asia,23821199.0,477,1980.5,7.0,300.0,443.0,1706.0,27.0,534.3934426229508,20.0,0.3,82737.0,3473.0,westernpacific
comoros,africa,871326.0,396,1980.5,7.0,300.0,340.0,1706.0,49.0,534.3934426229508,454.0,8.0,1402404.7015706806,83959.3664921466,africa
burundi,africa,11922216.0,395,1980.5,1.0,300.0,304.0,1706.0,90.0,534.3934426229508,33.0,0.08,15614.0,1310.0,africa
myanmar,asia,54446389.0,357,1980.5,6.0,300.0,308.0,1706.0,43.0,534.3934426229508,7.0,0.1,122290.0,2246.0,south-eastasia
mauritius,africa,1271985.0,344,1980.5,10.0,300.0,334.0,1706.0,0.0,534.3934426229508,270.0,8.0,205285.0,161389.0,africa
isle of man,europe,85078.0,336,1980.5,24.0,300.0,312.0,1706.0,0.0,534.3934426229508,3949.0,282.0,8627.0,101401.0,unknown
mongolia,asia,3283344.0,293,1980.5,3792.590425531915,300.0,260.0,1706.0,33.0,1.0,89.0,98.68117647058824,38334.0,11675.0,westernpacific
eritrea,africa,3551175.0,282,1980.5,3792.590425531915,300.0,225.0,1706.0,57.0,534.3934426229508,79.0,98.68117647058824,1402404.7015706806,83959.3664921466,africa
guadeloupe,north america,400131.0,279,1980.5,14.0,300.0,179.0,1706.0,86.0,534.3934426229508,697.0,35.0,18476.0,46175.0,unknown
martinique,north america,375235.0,276,1980.5,15.0,300.0,98.0,1706.0,163.0,1.0,736.0,40.0,12227.0,32585.0,unknown
faeroe islands,europe,48882.0,266,1980.5,3792.590425531915,300.0,192.0,1706.0,74.0,1.0,5442.0,98.68117647058824,43045.0,880590.0,unknown
aruba,north america,106812.0,263,1980.5,3.0,300.0,114.0,1706.0,146.0,534.3934426229508,2462.0,28.0,14047.0,131511.0,unknown
cambodia,asia,16741375.0,243,1980.5,3792.590425531915,300.0,210.0,1706.0,33.0,1.0,15.0,98.68117647058824,67807.0,4050.0,westernpacific
trinidad and tobago,north america,1399950.0,210,1980.5,8.0,300.0,135.0,1706.0,67.0,534.3934426229508,150.0,6.0,9559.0,6828.0,americas
cayman islands,north america,65798.0,203,1980.5,1.0,300.0,202.0,1706.0,0.0,534.3934426229508,3085.0,15.0,31108.0,472780.0,unknown
gibraltar,europe,33690.0,190,1980.5,3792.590425531915,300.0,184.0,1706.0,6.0,534.3934426229508,5640.0,98.68117647058824,23063.0,684565.0,unknown
papua new guinea,australia/oceania,8963009.0,163,1980.5,3.0,300.0,53.0,1706.0,107.0,534.3934426229508,18.0,0.3,10808.0,1206.0,westernpacific
sint maarten,north america,42924.0,160,1980.5,16.0,300.0,64.0,1706.0,80.0,3.0,3728.0,373.0,1115.0,25976.0,unknown
bermuda,north america,62254.0,157,1980.5,9.0,300.0,144.0,1706.0,4.0,534.3934426229508,2522.0,145.0,26352.0,423298.0,americas
brunei,asia,437893.0,141,1980.5,3.0,300.0,138.0,1706.0,0.0,534.3934426229508,322.0,7.0,41148.0,93968.0,unknown
barbados,north america,287411.0,133,1980.5,7.0,300.0,100.0,1706.0,26.0,534.3934426229508,463.0,24.0,12233.0,42563.0,americas
turks and caicos,north america,38768.0,129,1980.5,2.0,300.0,39.0,1706.0,88.0,3.0,3327.0,52.0,1252.0,32295.0,unknown
seychelles,africa,98408.0,126,1980.5,3792.590425531915,300.0,124.0,1706.0,2.0,534.3934426229508,1280.0,98.68117647058824,1402404.7015706806,83959.3664921466,africa
monaco,europe,39270.0,125,1980.5,4.0,300.0,105.0,1706.0,16.0,2.0,3183.0,102.0,38209.0,972982.0,europe
bhutan,asia,772443.0,105,1980.5,3792.590425531915,300.0,93.0,1706.0,12.0,534.3934426229508,136.0,98.68117647058824,54589.0,70671.0,south-eastasia
antigua and barbuda,north america,98010.0,92,1980.5,3.0,300.0,76.0,1706.0,13.0,1.0,939.0,31.0,1500.0,15305.0,americas
